cve_id,title,description,faq,severity,severity_value,cvss_base_score,cvss_temporal_score,cvss_vector,exploit_status,exploit_status_raw,impact_type,affected_products,affected_product_ids,affected_product_count,kb_articles,superceded_by,restart_required,acknowledged_researchers,release_date,patch_tuesday_title,parsed_timestamp
CVE-2025-55333,Windows BitLocker Security Feature Bypass Vulnerability,,"<p><strong>What kind of security feature could be bypassed by successfully exploiting this vulnerability?</strong></p>
<p>A successful attacker could bypass the BitLocker Device Encryption feature on the system storage device. An attacker with physical access to the target could exploit this vulnerability to gain access to encrypted data.</p>
",Important,3,6.1,5.3,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N/E:U/RL:O/RC:C,exploitation_less_likely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation Less Likely,Security Feature Bypass,,,0,5066835; 5066586; 5066782; 5066791; 5066793; 5066791; 5066835; 5066793; 5066780; 5066837; 5066836,5065428; 5065432; 5065429; 5065431; 5065429; 5065426; 5065431; 5065425; 5065430; 5065427,Yes,"{'Value': '<a href=""https://x.com/alon_leviev"">Alon Leviev</a> with Microsoft (STORM)'}; {'Value': '<a href=""https://x.com/alon_leviev"">Alon Leviev</a> with Microsoft (STORM)'}",2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907769
CVE-2025-55335,Windows NTFS Elevation of Privilege Vulnerability,,"<p><strong>What privileges could be gained by an attacker who successfully exploited this vulnerability?</strong></p>
<p>An attacker who successfully exploited this vulnerability could gain SYSTEM privileges.</p>
",Important,3,7.4,6.4,CVSS:3.1/AV:L/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,exploitation_less_likely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation Less Likely,Elevation of Privilege,,,0,5066586; 5066782; 5066791; 5066793; 5066791; 5066835; 5066793; 5066780; 5066837; 5066836; 5066874; 5066877; 5066872; 5066876; 5066875; 5066873; 5066835,5065428; 5065432; 5065429; 5065431; 5065429; 5065426; 5065431; 5065425; 5065430; 5065427; 5065508; 5065468; 5065509; 5065507,Yes,{'Value': 'Bruno Botelho'},2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907800
CVE-2025-55336,Windows Cloud Files Mini Filter Driver Information Disclosure Vulnerability,,"<p><strong>What type of information could be disclosed by this vulnerability?</strong></p>
<p>Exploiting this vulnerability could allow the disclosure of certain memory address within kernel space. Knowing the exact location of kernel memory could be potentially leveraged by an attacker for other malicious activities.</p>
",Important,3,5.5,4.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C,exploitation_less_likely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation Less Likely,Information Disclosure,,,0,5066835; 5066586; 5066782; 5066791; 5066793; 5066791; 5066835; 5066793; 5066780,5065428; 5065432; 5065429; 5065431; 5065429; 5065426; 5065431; 5065425,Yes,"{'Value': '<a href=""https://x.com/cplearns2h4ck"">Chen Le Qi (@cplearns2h4ck)</a> with <a href=""https://starlabs.sg/"">STAR Labs SG Pte. Ltd.</a>'}",2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907819
CVE-2025-55338,Windows BitLocker Security Feature Bypass Vulnerability,,"<p><strong>What kind of security feature could be bypassed by successfully exploiting this vulnerability?</strong></p>
<p>A successful attacker could bypass the BitLocker Device Encryption feature on the system storage device. An attacker with physical access to the target could exploit this vulnerability to gain access to encrypted data.</p>
",Important,3,6.1,5.3,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N/E:U/RL:O/RC:C,exploitation_less_likely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation Less Likely,Security Feature Bypass,,,0,5066835; 5066586; 5066782; 5066791; 5066793; 5066791; 5066835; 5066793; 5066780; 5066837; 5066836,5065428; 5065432; 5065429; 5065431; 5065429; 5065426; 5065431; 5065425; 5065430; 5065427,Yes,"{'Value': 'Netanel Ben Simon with Microsoft (STORM)'}; {'Value': '<a href=""https://x.com/alon_leviev"">Alon Leviev</a> with Microsoft (STORM)'}",2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907842
CVE-2025-55339,Windows Network Driver Interface Specification (NDIS) Driver Elevation of Privilege Vulnerability,,"<p><strong>What privileges could be gained by an attacker who successfully exploited this vulnerability?</strong></p>
<p>An attacker who successfully exploited this vulnerability could gain SYSTEM privileges.</p>
",Important,3,7.8,6.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,exploitation_less_likely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation Less Likely,Elevation of Privilege,,,0,5066835; 5066782; 5066793; 5066835; 5066793; 5066780,5065432; 5065431; 5065426; 5065431; 5065425,Yes,"{'Value': '<a href=""https://twitter.com/scwuaptx"">Angelboy (@scwuaptx)</a> with <a href=""https://devco.re/"">DEVCORE</a>'}",2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907855
CVE-2025-55340,Windows Remote Desktop Protocol Security Feature Bypass,,"<p><strong>What kind of security feature could be bypassed by successfully exploiting this vulnerability?</strong></p>
<p>This vulnerability could allow an attacker to bypass RDP authentication.</p>
",Important,3,7.0,6.1,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,exploitation_unlikely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation Unlikely,Security Feature Bypass,,,0,5066835; 5066782; 5066791; 5066793; 5066791; 5066835; 5066793; 5066780,5065432; 5065429; 5065431; 5065429; 5065426; 5065431; 5065425,Yes,{'Value': 'Toaster'},2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907872
CVE-2025-55676,Windows USB Video Class System Driver Information Disclosure Vulnerability,,"<p><strong>What type of information could be disclosed by this vulnerability?</strong></p>
<p>Exploiting this vulnerability could allow the disclosure of certain memory address within kernel space. Knowing the exact location of kernel memory could be potentially leveraged by an attacker for other malicious activities.</p>
",Important,3,5.5,4.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C,exploitation_more_likely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation More Likely,Information Disclosure,,,0,5066835; 5066835,5065426,Yes,"{'Value': '<a href=""https://twitter.com/lewislee53"">Lewis Lee</a>, <a href=""https://twitter.com/ver0759"">Chunyang Han</a>, and <a href=""https://twitter.com/edwardzpeng"">Zhiniang Peng</a> with HUST'}",2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907881
CVE-2025-55677,Windows Device Association Broker Service Elevation of Privilege Vulnerability,,"<p><strong>What privileges could be gained by an attacker who successfully exploited the vulnerability?</strong></p>
<p>An attacker could use this vulnerability to elevate privileges from Medium Integrity Level to Local Service.</p>
",Important,3,7.8,6.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,exploitation_unlikely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation Unlikely,Elevation of Privilege,,,0,5066835; 5066835,5065426,Yes,"{'Value': 'Hwiwon Lee (hwiwonl), SEC-agent team'}; {'Value': '<a href=""https://linkedin.com/in/jongseongkim"">Jongseong Kim (nevul37), SEC-agent team</a> with <a href=""https://www.enki.co.kr/"">ENKI WhiteHat</a>'}",2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907891
CVE-2025-55681,Desktop Windows Manager Elevation of Privilege Vulnerability,,"<p><strong>What privileges could be gained by an attacker who successfully exploited this vulnerability?</strong></p>
<p>An attacker who successfully exploited this vulnerability could gain SYSTEM privileges.</p>
",Important,3,7.0,6.1,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,exploitation_more_likely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation More Likely,Elevation of Privilege,,,0,5066835; 5066586; 5066782; 5066791; 5066793; 5066791; 5066835; 5066793; 5066780,5065428; 5065432; 5065429; 5065431; 5065429; 5065426; 5065431; 5065425,Yes,"{'Value': '<a href=""https://twitter.com/securiteam_ssd"">TyphoonPWN Windows PE Winner</a> with <a href=""https://ssd-disclosure.com/"">SSD Secure Disclosure</a>'}",2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907911
CVE-2025-55685,Windows PrintWorkflowUserSvc Elevation of Privilege Vulnerability,,"<p><strong>According to the CVSS metric, the attack complexity is high (AC:H). What does that mean for this vulnerability?</strong></p>
<p>Successful exploitation of this vulnerability requires an attacker to win a race condition.</p>
",Important,3,7.0,6.1,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,exploitation_less_likely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation Less Likely,Elevation of Privilege,,,0,5066835; 5066782; 5066791; 5066793; 5066791; 5066835; 5066793; 5066780,5065432; 5065429; 5065431; 5065429; 5065426; 5065431; 5065425,Yes,"{'Value': '<a href=""https://linkedin.com/in/jongseongkim"">Jongseong Kim (nevul37), SEC-agent team</a> with <a href=""https://www.enki.co.kr/"">ENKI WhiteHat</a>'}; {'Value': 'Hwiwon Lee (hwiwonl), SEC-agent team'}",2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907928
CVE-2025-55686,Windows PrintWorkflowUserSvc Elevation of Privilege Vulnerability,,"<p><strong>According to the CVSS metric, the attack complexity is high (AC:H). What does that mean for this vulnerability?</strong></p>
<p>Successful exploitation of this vulnerability requires an attacker to win a race condition.</p>
",Important,3,7.0,6.1,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,exploitation_less_likely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation Less Likely,Elevation of Privilege,,,0,5066835; 5066782; 5066791; 5066793; 5066791; 5066835; 5066793; 5066780,5065432; 5065429; 5065431; 5065429; 5065426; 5065431; 5065425,Yes,"{'Value': '<a href=""https://linkedin.com/in/jongseongkim"">Jongseong Kim (nevul37), SEC-agent team</a> with <a href=""https://www.enki.co.kr/"">ENKI WhiteHat</a>'}; {'Value': 'Hwiwon Lee (hwiwonl), SEC-agent team'}",2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907947
CVE-2025-55687,Windows Resilient File System (ReFS) Elevation of Privilege Vulnerability,,"<p><strong>What privileges could be gained by an attacker who successfully exploited this vulnerability?</strong></p>
<p>An attacker who successfully exploited this vulnerability could gain SYSTEM privileges.</p>
",Important,3,7.4,6.4,CVSS:3.1/AV:L/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,exploitation_less_likely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation Less Likely,Elevation of Privilege,,,0,5066835; 5066586; 5066782; 5066791; 5066793; 5066791; 5066835; 5066793; 5066780; 5066836; 5066837; 5066875; 5066873,5065428; 5065432; 5065429; 5065431; 5065429; 5065426; 5065431; 5065425; 5065427; 5065430; 5065509; 5065507,Yes,,2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907970
CVE-2025-55689,Windows PrintWorkflowUserSvc Elevation of Privilege Vulnerability,,"<p><strong>What privileges could be gained by an attacker who successfully exploited this vulnerability?</strong></p>
<p>An attacker who successfully exploited this vulnerability could gain SYSTEM privileges.</p>
",Important,3,7.0,6.1,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,exploitation_less_likely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation Less Likely,Elevation of Privilege,,,0,5066782; 5066791; 5066793; 5066791; 5066835; 5066793; 5066780; 5066835,5065432; 5065429; 5065431; 5065429; 5065426; 5065431; 5065425,Yes,"{'Value': '<a href=""https://linkedin.com/in/jongseongkim"">Jongseong Kim (nevul37), SEC-agent team</a> with <a href=""https://www.enki.co.kr/"">ENKI WhiteHat</a>'}; {'Value': 'Hwiwon Lee (hwiwonl), SEC-agent&#160;team'}",2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907987
CVE-2025-55700,Windows Routing and Remote Access Service (RRAS) Information Disclosure Vulnerability,,"<p><strong>According to the CVSS metric, the attack vector is network (AV:N), user interaction is required (UI:R), and privileges required are none (PR:N). What does that mean for this vulnerability?</strong></p>
<p>Exploitation of this vulnerability requires an unauthorized attacker to wait for a user to initiate a connection to a malicious server that the attacker has set up prior to the user connecting.</p>
",Important,3,6.5,5.7,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C,exploitation_less_likely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation Less Likely,Information Disclosure,,,0,5066835; 5066586; 5066782; 5066791; 5066793; 5066791; 5066835; 5066793; 5066780; 5066837; 5066836; 5066874; 5066877; 5066872; 5066876; 5066875; 5066873,5065428; 5065432; 5065429; 5065431; 5065429; 5065426; 5065431; 5065425; 5065430; 5065427; 5065508; 5065468; 5065509; 5065507,Yes,{'Value': 'Anonymous'},2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.908013
CVE-2025-55701,Windows Authentication Elevation of Privilege Vulnerability,,"<p><strong>What privileges could be gained by an attacker who successfully exploited the vulnerability?</strong></p>
<p>An attacker who successfully exploited this vulnerability could gain administrator privileges.</p>
",Important,3,7.8,6.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,exploitation_less_likely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation Less Likely,Elevation of Privilege,,,0,5066835; 5066586; 5066782; 5066791; 5066793; 5066791; 5066835; 5066793; 5066780; 5066837; 5066836; 5066874; 5066877; 5066872; 5066876; 5066875; 5066873,5065428; 5065432; 5065429; 5065431; 5065429; 5065426; 5065431; 5065425; 5065430; 5065427; 5065508; 5065468; 5065509; 5065507,Yes,"{'Value': '<a href=""https://twitter.com/keyz3r0"">k0shl</a> with <a href=""https://www.cyberkl.com/"">Kunlun Lab</a>'}",2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.908042
CVE-2025-58715,Windows Speech Runtime Elevation of Privilege Vulnerability,,"<p><strong>According to the CVSS metric, a successful exploitation could lead to a scope change (S:C). What does this mean for this vulnerability?</strong></p>
<p>This vulnerability could lead to a contained execution environment escape. Please refer to <a href=""https://learn.microsoft.com/en-us/windows/win32/secauthz/appcontainer-isolation"">AppContainer Isolation</a> for more information.</p>
",Important,3,8.8,7.7,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H/E:U/RL:O/RC:C,exploitation_unlikely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation Unlikely,Elevation of Privilege,,,0,5066835; 5066586; 5066782; 5066791; 5066793; 5066791; 5066835; 5066793; 5066780; 5066837; 5066836,5065428; 5065432; 5065429; 5065431; 5065429; 5065426; 5065431; 5065425; 5065430; 5065427,Yes,{'Value': 'Anonymous'},2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.908064
CVE-2025-58716,Windows Speech Runtime Elevation of Privilege Vulnerability,,"<p><strong>According to the CVSS metric, a successful exploitation could lead to a scope change (S:C). What does this mean for this vulnerability?</strong></p>
<p>This vulnerability could lead to a contained execution environment escape. Please refer to <a href=""https://learn.microsoft.com/en-us/windows/win32/secauthz/appcontainer-isolation"">AppContainer Isolation</a> for more information.</p>
",Important,3,8.8,7.7,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H/E:U/RL:O/RC:C,exploitation_unlikely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation Unlikely,Elevation of Privilege,,,0,5066835; 5066586; 5066782; 5066791; 5066793; 5066791; 5066835; 5066793; 5066780; 5066837; 5066836,5065428; 5065432; 5065429; 5065431; 5065429; 5065426; 5065431; 5065425; 5065430; 5065427,Yes,{'Value': 'Anonymous'},2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.908085
